ts,type,side,price,size,trade_aggr_side
360,book,A,10004,31.808305,
363,trade,T,9999,15.272367,S
364,book,B,9995,70.135839,
368,book,B,9997,112.720148,
370,book,B,9994,112.227111,
371,book,B,9999,78.586490,
375,book,B,9992,10.272954,
378,book,B,9999,88.618120,
379,book,A,10003,66.999594,
381,book,B,9992,3.977818,
384,book,B,9999,96.137496,
388,book,A,10001,69.339845,
390,trade,T,9999,2.916573,S
392,book,A,10001,69.935603,
397,book,A,10007,76.540374,
401,book,B,9999,99.142098,
403,book,A,10005,81.067603,
408,book,A,10004,26.227505,
412,trade,T,10001,19.932663,B
414,book,A,10002,80.387869,
416,book,A,10001,67.094052,
419,book,A,10003,61.559520,
423,trade,T,10001,6.385145,B
425,book,B,9999,106.294525,
426,book,B,9997,109.556737,
427,book,B,9994,107.980932,
430,book,B,9996,0.000000,
433,book,B,9995,60.148069,
436,trade,T,10001,1.743961,B
441,book,A,10001,73.852614,
442,book,A,10001,70.089668,
444,book,B,9995,45.437146,
447,book,A,10003,55.799990,
452,trade,T,10001,15.519834,B
455,book,A,10003,51.528059,
460,book,B,9998,1.148112,
462,trade,T,10001,12.492598,B
463,book,A,10001,62.585847,
466,trade,T,10001,17.113686,B
468,book,A,10002,84.440198,
472,book,A,10001,79.766864,
473,trade,T,10001,7.013685,B
475,book,A,10008,54.734918,
478,book,B,9999,112.309204,
481,trade,T,9999,11.390465,S
483,trade,T,10001,19.085312,B
485,book,B,9998,7.540744,
490,book,B,9995,55.737438,
493,trade,T,9999,8.696171,S
495,book,B,9999,129.899983,
497,book,A,10002,85.483197,
501,trade,T,10001,17.639026,B
502,book,A,10001,71.119533,
503,book,A,10001,65.228523,
507,book,B,9999,123.171070,
508,trade,T,10001,1.546551,B
510,trade,T,9999,1.447765,S
512,book,A,10001,0.000000,
515,book,B,9998,0.000000,
518,trade,T,10001,14.355196,B
522,book,B,9999,133.799064,
523,book,A,10004,16.456161,
525,book,B,9996,0.000000,
526,book,A,10002,75.386809,
530,trade,T,10001,11.845878,B
534,book,A,10002,78.286128,
538,book,A,10006,0.000000,
543,trade,T,10001,5.245557,B
547,book,A,10003,63.853819,
550,book,A,10001,71.202554,
554,trade,T,10001,13.041823,B
555,book,A,10002,76.010561,
558,trade,T,10001,9.056101,B
559,book,B,9999,126.382033,
561,book,A,10002,76.608500,
564,book,A,10001,78.879814,
569,trade,T,9999,6.480278,S
571,book,A,10002,90.573196,
574,book,B,9998,14.556230,
577,book,A,10001,81.349590,
582,trade,T,10001,7.447119,B
584,book,A,10002,87.160225,
588,book,A,10001,92.759378,
592,book,A,10002,82.227770,
597,book,B,9999,132.344448,
600,trade,T,9999,4.414170,S
601,book,B,9994,104.979576,
605,book,A,10002,0.000000,
609,book,B,9999,130.117124,
610,book,A,10001,97.455216,
613,book,B,9999,139.757957,
618,book,B,9997,98.864181,
622,trade,T,9999,18.609205,S
625,trade,T,10001,1.023208,B
628,book,A,10006,0.000000,
630,book,A,10006,0.000000,
634,book,B,9994,110.239214,
636,book,A,10001,84.131169,
640,trade,T,10001,16.038575,B
645,book,A,10001,78.752943,
646,book,B,9999,137.408755,
650,book,A,10001,70.431330,
653,trade,T,10001,14.138837,B
655,book,A,10001,67.493064,
656,book,B,9996,0.000000,
658,trade,T,9999,13.578137,S
659,book,A,10001,64.415813,
663,trade,T,9999,18.596572,S
664,book,B,9997,98.390809,
666,book,A,10006,1.827271,
671,book,B,9999,136.472021,
673,book,B,9995,57.318498,
674,book,A,10001,57.871211,
678,book,A,10001,64.969455,
681,trade,T,10001,7.188743,B
682,trade,T,10001,9.604942,B
684,book,B,9999,144.220829,
689,book,B,9997,94.831907,
693,trade,T,10001,14.531617,B
698,trade,T,9999,18.866250,S
702,trade,T,9999,14.874104,S
703,book,B,9999,148.161794,
708,book,B,9996,0.558955,
713,book,B,9997,108.637379,
714,trade,T,9999,6.072128,S
715,book,A,10001,58.009237,
716,book,A,10001,62.306424,
718,trade,T,10001,14.171956,B
719,trade,T,9999,9.946567,S
722,trade,T,10001,3.980779,B
723,trade,T,9999,14.348886,S
726,trade,T,9999,15.441523,S
730,trade,T,10001,18.095687,B
734,trade,T,10001,8.706418,B
739,trade,T,10001,18.918779,B
740,trade,T,10001,15.014304,B
742,book,A,10007,91.877766,
743,trade,T,10001,13.657124,B
746,book,B,9996,0.000000,
749,trade,T,9999,6.095266,S
752,book,B,9994,103.240115,
755,book,B,9998,0.000000,
758,book,A,10002,0.000000,
760,book,B,9994,100.532601,
763,book,A,10007,111.816436,
766,trade,T,10001,19.771015,B
768,trade,T,9999,0.181171,S
770,book,A,10004,6.130652,
775,book,A,10001,41.644448,
780,book,A,10002,0.000000,
785,book,A,10002,0.000000,
786,trade,T,10001,11.148261,B
790,book,B,9997,117.338003,
791,trade,T,9999,11.750961,S
796,trade,T,9999,11.791431,S
799,book,A,10001,38.709901,
803,trade,T,10001,7.609721,B
806,book,B,9997,119.339720,
808,trade,T,9999,6.160030,S
813,book,B,9999,141.048989,
816,book,B,9992,0.000000,
817,book,B,9994,108.286375,
818,trade,T,9999,16.742157,S
820,book,B,9995,46.199063,
821,book,A,10003,59.552443,
822,trade,T,9999,16.532924,S
827,book,B,9992,2.556717,
832,book,A,10001,36.172392,
834,book,A,10005,93.330177,
837,book,B,9994,103.462793,
839,book,A,10007,110.252970,
843,book,A,10001,38.680061,
845,book,A,10005,100.276714,
847,trade,T,10001,14.860178,B
851,book,A,10004,15.839264,
854,trade,T,10001,10.181380,B
859,book,B,9996,2.429531,
864,trade,T,9999,0.100000,S
866,book,A,10003,52.399450,
867,trade,T,9999,4.489419,S
870,book,B,9997,115.064183,
875,book,A,10001,59.855573,
879,trade,T,9999,1.790394,S
880,book,A,10001,74.296918,
885,trade,T,9999,9.557536,S
887,trade,T,10001,12.353597,B
889,book,B,9999,140.658100,
894,trade,T,10001,14.861322,B
897,trade,T,10001,5.924606,B
898,trade,T,10001,1.254589,B
900,trade,T,10001,14.947352,B
905,book,B,9996,1.603677,
907,book,B,9995,48.459588,
910,book,A,10002,12.102518,
914,trade,T,10001,10.566026,B
917,book,B,9999,133.160077,
920,trade,T,9999,14.648196,S
924,trade,T,9999,2.766356,S
925,book,B,9999,135.165266,
926,book,A,10006,0.000000,
931,book,A,10001,80.817086,
932,trade,T,10001,8.800737,B
937,book,A,10002,0.000000,
938,book,A,10006,0.000000,
942,book,B,9993,89.193428,
944,book,A,10001,83.085878,
945,trade,T,9999,0.100000,S
949,book,A,10001,93.424740,
953,book,B,9995,43.622601,
954,trade,T,9999,10.242530,S
955,trade,T,9999,17.578303,S
956,book,A,10003,40.515247,
957,book,A,10002,0.000000,
962,book,A,10006,8.342804,
964,trade,T,10001,1.727055,B
969,book,A,10006,16.392410,
970,book,B,9999,128.754001,
972,book,B,9996,0.000000,
977,trade,T,10001,11.490238,B
979,trade,T,10001,18.257416,B
980,book,A,10006,20.023710,
983,trade,T,9999,6.010713,S
986,book,B,9999,125.263161,
990,trade,T,10001,15.053895,B
993,book,A,10001,84.271500,
994,trade,T,10001,15.891982,B
999,book,A,10002,11.530243,
1000,trade,T,9999,10.618368,S
1005,trade,T,10001,10.376573,B
1006,book,A,10007,106.605336,
1008,book,B,9992,4.234461,
1012,book,B,9996,0.000000,
1017,book,B,9998,0.000000,
1018,book,B,9997,135.681986,
1023,book,A,10001,81.581638,
1025,trade,T,9999,18.646185,S
1028,book,B,9995,51.373250,
1030,book,B,9999,129.142253,
1035,book,B,9998,0.000000,
1036,book,A,10001,0.000000,
1038,book,A,10001,49.677039,
1040,book,B,9994,95.791090,
1044,book,A,10007,110.190399,
1048,book,B,9998,0.000000,
1051,book,B,9998,3.330112,
1055,trade,T,9999,1.214286,S
1057,book,B,9992,6.459077,
1058,book,B,9997,142.681372,
1059,book,B,9999,125.763028,
1061,book,B,9992,16.272644,
1064,book,A,10001,60.358152,
1068,book,B,9996,8.912336,
1069,book,B,9997,144.062690,
1071,trade,T,9999,0.835045,S
1074,book,A,10001,58.924526,
1075,trade,T,10001,6.088874,B
1078,trade,T,9999,13.582401,S
1079,book,B,9998,0.000000,
1083,book,A,10001,53.775136,
1086,trade,T,9999,8.139586,S
1089,trade,T,10001,15.400612,B
1091,book,A,10001,66.807558,
1096,book,B,9997,128.881194,
1101,book,A,10001,75.654255,
1102,book,B,9993,102.004029,
1105,trade,T,9999,8.711587,S
1106,trade,T,9999,15.069322,S
1108,book,A,10006,4.581995,
1113,book,B,9997,122.247667,
1118,book,A,10003,47.618159,
1121,book,A,10001,74.823738,
1125,book,A,10002,8.916169,
1127,book,A,10008,64.574134,
1131,trade,T,9999,14.705352,S
1134,book,B,9992,14.457432,
1137,book,A,10004,7.197035,
1140,book,A,10002,10.588847,
1144,book,A,10002,6.016526,
1149,book,A,10008,59.744287,
1152,book,B,9998,0.000000,
1153,book,A,10001,72.392273,
1155,book,B,9999,127.055344,
1156,trade,T,10001,2.972325,B
1159,book,B,9995,45.642027,
1162,book,B,9999,124.998717,
1165,book,B,9993,96.102918,
1166,trade,T,9999,5.902878,S
1167,trade,T,10001,1.884189,B
1172,trade,T,9999,9.368720,S
1174,trade,T,9999,8.709432,S
1175,book,B,9996,8.462409,
1180,book,B,9999,133.382757,
1182,book,A,10007,105.771451,
1185,book,B,9999,144.314885,
1188,book,B,9995,43.728977,
1190,trade,T,10001,9.235112,B
1192,trade,T,10001,17.398166,B
1196,trade,T,9999,1.401076,S
1200,book,A,10003,54.448639,
1204,book,A,10003,53.347804,
1205,book,A,10001,0.000000,
1210,book,A,10001,0.000000,
1213,book,B,9999,137.447953,
1214,trade,T,10001,10.600538,B
1215,trade,T,10001,8.126956,B
1217,trade,T,9999,6.760647,S
1218,book,A,10001,76.878602,
1222,trade,T,10001,5.774126,B
1226,book,A,10005,95.559909,
1230,trade,T,9999,4.958463,S
1233,trade,T,10001,19.524630,B
1238,book,A,10001,63.932263,
1240,book,A,10003,60.633520,
1243,book,A,10008,53.829224,
1246,book,A,10002,0.611800,
1251,book,A,10006,2.738826,
1254,book,B,9994,82.503851,
1259,book,B,9993,90.247756,
1264,book,A,10003,73.135552,
1267,book,A,10006,0.871218,
1268,book,A,10001,0.000000,
1269,book,B,9994,84.735525,
1272,trade,T,10001,6.370503,B
1275,book,A,10003,60.310706,
1280,book,B,9992,6.599752,
1282,book,A,10004,9.027459,
1287,book,B,9992,5.506772,
1290,trade,T,9999,4.446558,S
1295,book,A,10008,44.623143,
1299,book,B,9995,52.309879,
1304,book,A,10003,68.739366,
1306,trade,T,10001,15.190509,B
1311,trade,T,9999,0.468456,S
1316,trade,T,10001,4.302120,B
1320,book,B,9996,0.000000,
1324,book,A,10001,49.507175,
1325,trade,T,9999,15.655727,S
1330,book,B,9997,120.319106,
1332,trade,T,9999,9.247028,S
1337,book,A,10007,0.000000,
1338,book,B,9994,90.305127,
1340,book,A,10001,56.424140,
1342,book,B,9999,133.268390,
1347,book,B,9998,1.488784,
1352,trade,T,9999,3.959108,S
1357,book,B,9999,136.602665,
1361,trade,T,10001,12.909945,B
1365,book,B,9994,91.864398,
1368,trade,T,10001,19.041397,B
1373,book,A,10005,100.227709,
1377,book,A,10001,62.466608,
1382,book,B,9999,147.545805,
1386,book,A,10001,60.767558,
1389,book,B,9998,2.881561,
1392,book,A,10004,0.000000,
1395,book,A,10002,0.000000,
1397,trade,T,9999,4.559743,S
1398,book,A,10007,0.000000,
1400,trade,T,9999,18.501938,S
1404,book,B,9995,43.681558,
1406,trade,T,9999,1.118917,S
1407,book,A,10001,51.629311,
1408,book,A,10008,53.090387,
1412,book,B,9999,146.422530,
1414,trade,T,10001,12.520648,B
1415,book,A,10005,101.224922,
1419,book,B,9998,1.995753,
1420,book,B,9999,146.142717,
1425,trade,T,9999,14.111380,S
1427,trade,T,9999,19.198900,S
1432,book,B,9998,1.280178,
1434,trade,T,10001,19.815651,B
1437,trade,T,9999,12.217678,S
1439,book,A,10006,0.000000,
1440,trade,T,10001,18.144254,B
1445,trade,T,9999,11.779342,S
1447,book,B,9993,90.998941,
1450,book,B,9999,145.248187,
1453,book,A,10008,55.884638,
1457,book,A,10001,46.622480,
1461,book,A,10006,11.052494,
1466,book,A,10001,42.299984,
1471,book,B,9994,96.105421,
1472,book,A,10001,48.166032,
1474,trade,T,10001,16.766781,B
1477,book,A,10002,0.000000,
1480,book,B,9992,8.392393,
1484,trade,T,9999,1.966696,S
1488,book,A,10001,48.048863,
1493,trade,T,9999,13.677458,S
1498,trade,T,10001,17.977627,B
1502,book,B,9997,116.291595,
1503,trade,T,10001,2.806770,B
1508,book,A,10001,45.514876,
1511,book,B,9996,11.529558,
1514,trade,T,9999,19.162679,S
1516,book,B,9992,4.503884,
1521,book,A,10001,56.739381,
1522,trade,T,10001,13.564267,B
1523,trade,T,9999,5.609806,S
1528,book,B,9995,53.980801,
1530,book,B,9994,101.850881,
1535,book,B,9992,0.000000,
1540,trade,T,9999,14.924983,S
1543,book,A,10001,0.000000,
1547,book,B,9995,51.368007,
1550,book,A,10001,62.071590,
1551,book,A,10003,77.871244,
1556,trade,T,9999,2.809526,S
1557,trade,T,9999,1.851664,S
1561,book,B,9999,147.780018,
1566,book,A,10001,61.953307,
1569,book,B,9995,0.000000,
1573,book,B,9999,145.479342,
1575,book,A,10005,93.076403,
1576,book,B,9997,119.229771,
1578,book,A,10001,69.549437,
1579,book,B,9998,0.000000,
1581,book,B,9998,7.402830,
1585,book,B,9999,140.047005,
1589,book,A,10003,72.198326,
1590,trade,T,9999,2.825971,S
1594,book,B,9999,137.357436,
1595,book,B,9997,105.366614,
1598,trade,T,9999,16.549891,S
1600,book,B,9999,144.871410,
1602,book,B,9994,93.297823,
1604,book,B,9993,83.711253,
1609,book,A,10004,15.923018,
1614,book,B,9995,0.000000,
1616,book,B,9999,152.971778,
1621,book,B,9995,1.870780,
1623,trade,T,10001,10.880830,B
1626,trade,T,10001,9.651514,B
1628,trade,T,10001,9.100266,B
1629,trade,T,9999,4.676097,S
1633,book,A,10004,6.449105,
1634,book,B,9997,109.990683,
1636,book,A,10005,88.047708,
1637,book,B,9995,11.232720,
1641,book,B,9996,0.000000,
1644,trade,T,10001,6.629945,B
1646,book,B,9995,23.873209,
1650,trade,T,10001,19.736025,B
1654,book,B,9998,19.174409,
1657,book,A,10001,64.336339,
1658,trade,T,10001,4.666806,B
1663,trade,T,9999,11.432561,S
1668,book,A,10001,61.773851,
1671,trade,T,9999,4.564865,S
1674,book,A,10001,60.178347,
1679,book,A,10002,1.551855,
1680,book,A,10001,40.531114,
1682,book,B,9995,27.683748,
1683,trade,T,10001,1.349545,B
1684,book,B,9998,14.750660,
1686,book,B,9999,159.237082,
1688,book,B,9996,0.000000,
1691,book,A,10004,9.733450,
1692,book,A,10002,7.745210,
1697,book,B,9995,37.717054,
1700,book,B,9993,81.798391,
1705,book,B,9996,1.362635,
1708,book,A,10005,92.573533,
1713,book,A,10001,35.690671,
1715,book,A,10003,58.106052,
1720,trade,T,9999,10.996640,S
1722,book,B,9997,0.000000,
1727,book,A,10001,41.013427,
1732,book,B,9999,153.575210,
1734,trade,T,9999,0.520698,S
1737,trade,T,9999,14.390518,S
1738,book,B,9993,83.485077,
1740,book,A,10001,45.846288,
1742,trade,T,10001,9.680296,B
1747,book,A,10002,0.000000,
1751,trade,T,9999,5.415027,S
1756,book,B,9999,160.924593,
1761,book,A,10005,90.390886,
1764,book,B,9993,91.038200,
1768,book,A,10005,101.703533,
1770,trade,T,9999,5.519288,S
1771,book,A,10001,60.168698,
1774,book,A,10003,58.277137,
1776,trade,T,10001,13.563076,B
1780,book,A,10001,52.043835,
1782,book,B,9999,165.942631,
1787,book,A,10001,48.402298,
1789,trade,T,10001,2.038291,B
1793,trade,T,9999,14.538560,S
1795,book,B,9999,166.260502,
1797,book,A,10005,110.276220,
1798,book,B,9994,79.584425,
1800,book,B,9998,14.078973,
1802,book,A,10002,0.000000,
1803,book,B,9995,44.966543,
1806,book,A,10005,106.924858,
1811,trade,T,9999,3.563299,S
1815,trade,T,9999,0.982057,S
1817,book,B,9997,6.730265,
1821,book,A,10004,13.425300,
1825,trade,T,9999,12.710939,S
1827,book,B,9999,164.454894,
1829,book,A,10001,38.881325,
1832,book,B,9999,171.195604,
1835,book,A,10005,106.736878,
1836,book,A,10002,2.896057,
1839,trade,T,9999,10.381713,S
1844,book,B,9998,34.946165,
1846,book,A,10002,5.050079,
1849,book,A,10002,0.000000,
1853,trade,T,10001,8.796820,B
1854,trade,T,9999,10.122493,S
1855,book,A,10001,0.000000,
1856,book,A,10001,64.070805,
1860,book,B,9992,9.904116,
1864,book,B,9998,33.469950,
1866,trade,T,9999,9.937774,S
1868,book,B,9999,165.040817,
1869,book,B,9999,157.746694,
1874,book,B,9993,82.105145,
1876,trade,T,9999,16.286620,S
1881,book,A,10001,57.992377,
1882,trade,T,9999,5.182261,S
1887,book,B,9996,2.973854,
1892,book,B,9992,5.056313,
1896,book,A,10008,51.484578,
1900,trade,T,10001,15.548403,B
1905,trade,T,9999,14.854467,S
1910,trade,T,10001,5.353298,B
1914,book,B,9994,72.803065,
1919,book,B,9997,4.805244,
1921,book,A,10006,14.235701,
1924,book,B,9999,156.817157,
1928,book,A,10002,0.873954,
1933,trade,T,10001,10.080850,B
1935,book,B,9997,0.000000,
1936,book,A,10003,53.794244,
1940,book,B,9998,33.889118,
1945,book,B,9998,30.898900,
1946,book,B,9999,168.567359,
1949,trade,T,10001,8.908895,B
1953,book,A,10004,23.405403,
1955,book,A,10001,66.609805,
1959,book,A,10006,0.000000,
1963,book,B,9998,38.827072,
1965,book,B,9999,166.227866,
1969,trade,T,9999,0.745930,S
1973,book,B,9999,0.000000,
1977,trade,T,10001,11.717397,B
1982,trade,T,10001,8.187324,B
1983,book,B,9999,49.946125,
1988,book,A,10007,0.000000,
1991,trade,T,10001,5.531093,B
1992,trade,T,9999,11.539386,S
1996,book,A,10001,68.031063,
2000,book,A,10001,82.919782,
2005,book,B,9995,46.955475,
2008,book,B,9993,0.000000,
2010,book,A,10001,81.521570,
2012,trade,T,10001,15.394020,B
2017,trade,T,10001,19.035078,B
2019,trade,T,10001,3.070892,B
2023,book,A,10008,0.000000,
2026,book,B,9994,0.000000,
2031,trade,T,9999,1.422150,S
2035,book,A,10003,56.819627,
2037,trade,T,9999,17.746034,S
2039,book,B,9993,0.000000,
2040,book,B,9997,21.900460,
2042,book,A,10004,20.558047,
2047,trade,T,10001,3.669152,B
2052,trade,T,9999,13.944665,S
2053,book,B,9999,60.506245,
2058,book,B,9993,0.000000,
2059,book,A,10002,0.000000,
2063,book,B,9999,61.260970,
2067,trade,T,10001,13.987874,B
2069,book,B,9999,53.264440,
2071,book,B,9998,42.183863,
2072,book,A,10001,89.053500,
2074,book,B,9993,5.700985,
2077,book,A,10005,103.063293,
2082,book,A,10001,83.258963,
2087,trade,T,9999,18.421753,S
2092,book,A,10001,86.534286,
2094,book,A,10005,96.043802,
2095,trade,T,9999,7.504576,S
2099,book,A,10002,0.000000,
2102,book,B,9992,8.728109,
2105,book,B,9996,10.114060,
2109,book,B,9992,8.299717,
2111,trade,T,9999,5.960540,S
2112,book,A,10002,0.000000,
2113,book,B,9999,52.780067,
2116,book,B,9998,48.423629,
2120,book,B,9999,56.150367,
2122,trade,T,10001,18.018989,B
2124,book,B,9997,33.686555,
2129,trade,T,10001,7.677289,B
2134,book,B,9993,3.740274,
2137,book,A,10001,78.583632,
2142,book,A,10001,89.528325,
2147,book,A,10002,0.000000,
2152,book,A,10002,5.016749,
2155,book,B,9996,4.447799,
2160,book,A,10003,50.273635,
2162,book,B,9999,57.726300,
2166,book,A,10001,93.750960,
2169,book,A,10002,6.141674,
2174,book,A,10005,84.042107,
2176,book,B,9993,0.000000,
2179,book,A,10001,89.010172,
2184,book,A,10002,0.560095,
2189,trade,T,9999,8.414721,S
2194,book,B,9999,65.967490,
2195,book,B,9999,58.752056,
2197,trade,T,9999,9.966553,S
2198,book,B,9992,7.737335,
2201,book,A,10007,0.000000,
2202,book,B,9999,57.110965,
2206,book,A,10001,91.810351,
2210,book,A,10001,93.827311,
2215,book,B,9999,43.956145,
2218,book,B,9997,23.472155,
2222,trade,T,9999,10.902412,S
2223,book,B,9999,33.695503,
2225,trade,T,10001,1.648989,B
2226,book,A,10002,3.098598,
2227,book,A,10001,87.931918,
2229,book,B,9993,0.000000,
2233,trade,T,9999,13.947868,S
2238,book,A,10006,0.000000,
2239,book,A,10001,74.467351,
2244,book,B,9999,42.974801,
2247,trade,T,10001,10.252294,B
2252,book,B,9999,41.125333,
2256,trade,T,10001,14.596978,B
2260,trade,T,9999,11.096873,S
2265,book,B,9997,24.516962,
2268,book,B,9999,40.794023,
2273,book,A,10001,62.909867,
2274,trade,T,10001,2.579625,B
2278,book,B,9997,28.257634,
2281,book,B,9995,51.931643,
2285,book,B,9997,40.191398,
2289,trade,T,10001,4.703894,B
2291,trade,T,10001,18.063883,B
2295,book,A,10006,3.990826,
2296,trade,T,10001,15.709520,B
2298,book,B,9995,39.578926,
2303,book,B,9998,41.635786,
2304,book,B,9993,0.000000,
2309,trade,T,10001,6.549216,B
2314,book,A,10001,52.917358,
2315,book,B,9994,13.313327,
2318,book,B,9995,57.625213,
2321,book,A,10003,59.445864,
2323,trade,T,9999,9.501780,S
2327,book,B,9994,4.302366,
2329,book,A,10002,14.097317,
2332,trade,T,10001,11.945092,B
2334,book,A,10003,0.000000,
2338,trade,T,9999,2.181602,S
2341,book,B,9999,53.293867,
2344,book,B,9995,51.936234,
2345,book,A,10006,0.000000,
2349,book,A,10006,3.964130,
2350,trade,T,10001,11.060479,B
2351,trade,T,10001,12.107108,B
2354,book,B,9992,0.000000,
2359,book,A,10001,47.357656,
2361,trade,T,10001,5.904906,B
2366,book,B,9999,43.245018,
2370,book,B,9994,0.000000,
2373,book,B,9999,44.748883,
2374,book,A,10004,19.163878,
2378,book,B,9998,46.408917,
2383,book,A,10003,0.000000,
2384,book,A,10003,3.547456,
2387,book,B,9994,0.000000,
2388,trade,T,10001,15.922335,B
2391,book,A,10004,16.607257,
2395,trade,T,9999,6.423804,S
2400,book,B,9995,55.785773,
2403,book,B,9999,46.895284,
2404,book,B,9999,40.414920,
2407,book,B,9997,43.456679,
2409,book,A,10006,0.000000,
2411,book,B,9995,53.986269,
2416,book,A,10006,0.000000,
2419,trade,T,9999,6.319349,S
2424,book,A,10002,4.413109,
2429,book,A,10003,20.596490,
2433,book,B,9998,47.182097,
2437,trade,T,10001,0.905993,B
2438,book,B,9999,35.207688,
2443,book,B,9999,28.266057,
2446,trade,T,10001,4.346879,B
2450,book,B,9999,43.380390,
2452,book,B,9999,0.000000,
2455,trade,T,9999,14.550705,S
2460,trade,T,9999,9.277459,S
2463,book,A,10001,46.031550,
2468,trade,T,10001,9.767157,B
2470,book,A,10003,5.138185,
2474,book,A,10001,37.280692,
2477,book,A,10001,42.944297,
2480,trade,T,9999,7.464812,S
2484,trade,T,9999,0.510958,S
2489,book,B,9997,36.586127,
2493,book,A,10001,48.702795,
2496,book,A,10003,3.029480,
2501,book,A,10001,73.342291,
2505,book,B,9995,67.129334,
2510,trade,T,9999,15.605728,S
2513,book,A,10001,83.152645,
2518,trade,T,10001,6.871942,B
2522,book,B,9999,62.091855,
2527,book,A,10006,0.000000,
2528,book,B,9998,47.908047,
2533,book,A,10004,17.059681,
2538,book,B,9998,51.529001,
2542,book,B,9998,49.982318,
2547,book,A,10004,13.799341,
2549,book,B,9992,10.446572,
2553,book,A,10007,12.128391,
2558,book,A,10006,0.000000,
2562,book,A,10005,88.975121,
2564,trade,T,9999,6.123637,S
2568,book,A,10007,3.484898,
2573,book,A,10004,19.817913,
2576,trade,T,9999,12.399214,S
2581,book,A,10008,0.000000,
2582,book,A,10006,0.000000,
2586,trade,T,10001,7.124895,B
2587,trade,T,10001,2.830854,B
